BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     156,          1,         15,         15,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1415.4,   3.0687,  34.4659,2,  34.4644,2, 171.6531,2, 170.6763,2,    64.9,2,   34.40,2,    0.00,2,    2.36,2,   0.173,2,   0.105,2,   0.0000,2,  2245.4,2,  2331.3,2,   7.5712,2,    25.00,  -999.0,9,  -999.0,    36.3,2, -999.00,9,     -999.0,1, 20170830,     1028, -32.4993,-138.5882,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.0628,2
320620170820,        P06,     156,          1,         16,         16,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1313.6,   3.3257,  34.4250,2,  34.4275,2, 175.7474,2, 174.9742,2,    57.0,2,   34.04,2,    0.00,2,    2.34,2,   0.270,2,   0.155,2,   0.0000,2,  2236.1,2,  2322.4,2,   7.5756,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1032, -32.4993,-138.5883,        0.0,1,      0.060,1,      4.697,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.2871,2
320620170820,        P06,     156,          1,         17,         17,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1210.8,   3.7590,  34.3744,2,  34.3788,2, 182.2567,2, 184.2127,2,    47.0,2,   33.33,2,    0.00,2,    2.29,2,   0.460,2,   0.247,2,   0.1020,2,  2223.5,2,  2313.4,2,   7.5869,2,    25.00,  -999.0,9,  -999.0,    39.8,2, -999.00,9,     -999.0,1, 20170830,     1036, -32.4993,-138.5883,        0.0,1,      0.061,1,      4.696,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.6642,2
320620170820,        P06,     156,          1,         18,         18,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1110.9,   4.2929,  34.3338,2,  34.3380,2, 194.0805,2, 193.2605,2,    36.3,2,   31.84,2,    0.00,2,    2.19,2,   0.810,2,   0.414,2,   0.1360,2,  2204.2,2,  2302.5,2,   7.6075,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1040, -32.4994,-138.5883,        0.0,1,      0.060,1,      4.696,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.1459,2
320620170820,        P06,     156,          1,         19,         19,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1009.5,   4.8046,  34.3116,2,  34.3121,2, 206.7954,2, 204.6564,2,    26.5,2,   30.09,2,    0.00,2,    2.04,2,   1.262,2,   0.612,2,   0.2320,2,  2190.7,2,  2293.9,2,   7.6300,2,    25.00,  -999.0,9,  -999.0,    41.1,2, -999.00,9,     -999.0,1, 20170830,     1045, -32.4997,-138.5886,        0.0,1,      0.059,1,      4.696,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.6961,2
320620170820,        P06,     156,          1,         20,         20,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   909.5,   5.2799,  34.3003,2,  34.2970,2, 221.1279,2, 220.2715,2,    17.2,2,   27.53,2,    0.00,2,    1.87,2,   1.969,2,   0.986,2,   0.4510,2,  2169.0,2,  2286.3,2,   7.6613,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1049, -32.4995,-138.5885,        0.0,1,      0.059,1,      4.696,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.3703,2
320620170820,        P06,     156,          1,         21,         21,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   808.5,   5.8542,  34.3051,2,  34.3072,2, 233.3586,2, 234.2663,2,    11.0,2,   24.99,2,    0.00,2,    1.69,2,   2.635,2,   1.419,2,   0.7320,2,  2155.2,2,  2282.4,2,   7.6890,2,    25.00,  -999.0,9,  -999.0,    45.7,2, -999.00,9,     -999.0,1, 20170830,     1053, -32.4991,-138.5882,        0.0,1,      0.059,1,      4.696,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.0033,2
320620170820,        P06,     156,          1,         22,         22,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   705.5,   6.3774,  34.3260,2,  34.3242,2, 240.4201,2, 240.5996,2,     8.4,2,   23.51,2,    0.00,2,    1.58,2,   3.268,2,   1.692,2,   0.9140,2,  2150.2,2,  2279.6,2,   7.7011,2,    25.00,  -999.0,9,  -999.0,    44.5,2, -999.00,9,     -999.0,1, 20170830,     1058, -32.4992,-138.5883,        0.0,1,      0.059,1,      4.680,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.4217,2
320620170820,        P06,     156,          1,         23,         23,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   604.7,   6.9022,  34.3597,2,  34.3517,2, 242.7833,2, 243.5666,2,     6.6,2,   22.15,2,    0.00,2,    1.49,2,   3.530,2,   1.872,2,   1.0700,2,  2143.8,6,  2280.7,2,   7.7113,2,    25.00,  -999.0,9,  -999.0,    46.4,2, -999.00,9,     -999.0,1, 20170830,     1102, -32.4995,-138.5885,        0.0,1,      0.058,1,      4.694,1,      0.132,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.8569,2
320620170820,        P06,     156,          1,         24,         24,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   502.5,   7.6861,  34.4126,2,  34.3980,2, 243.0904,2, 243.6792,2,     4.8,2,   20.00,2,    0.00,2,    1.36,2,   3.595,2,   1.935,2,   1.3190,2,  2140.7,2,  2279.9,2,   7.7216,2,    25.00,  -999.0,9,  -999.0,    42.5,3, -999.00,9,     -999.0,1, 20170830,     1106, -32.4993,-138.5884,        0.0,1,      0.059,1,      4.692,1,      0.134,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.5192,2
320620170820,        P06,     156,          1,         25,         25,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   454.1,   8.2295,  34.4382,2,  34.4202,2,  237.781,2, 237.2004,2,     4.2,2,   19.17,2,    0.00,2,    1.31,2,   3.562,2,   1.919,2,   1.4320,2,  2139.7,2,  2279.3,2,   7.7264,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1109, -32.4992,-138.5884,        0.0,1,      0.058,1,      4.692,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.9852,2
320620170820,        P06,     156,          1,         26,         26,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   402.3,   9.0593,  34.4953,2,  34.4585,2, 227.1004,2, 228.5995,2,     3.5,2,   17.94,2,    0.00,2,    1.23,2,   3.451,2,   1.863,2,   1.3960,2,  2137.7,2,  2281.1,2,   7.7338,2,    25.00,  -999.0,9,  -999.0,    45.7,2, -999.00,9,     -999.0,1, 20170830,     1112, -32.4993,-138.5884,        0.0,1,      0.059,1,      4.691,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.6814,2
320620170820,        P06,     156,          1,         27,         27,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   352.2,  10.4686,  34.6242,2,  34.5390,2, 211.4695,2, 219.1386,2,     2.7,2,   15.65,2,    0.00,2,    1.09,2,   3.266,2,   1.756,2,   1.3990,2,  2131.8,2,  2281.9,2,   7.7534,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1114, -32.4993,-138.5884,        0.0,1,      0.061,1,      4.689,1,      0.135,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     9.9580,2
320620170820,        P06,     156,          1,         28,         28,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   301.5,  12.2194,  34.8019,2,  34.7496,3, 211.8633,2, 210.8296,2,     1.7,2,   11.40,2,    0.00,2,    0.83,2,   3.130,6,   1.665,6,   1.3790,6,  2116.5,2,  2290.8,2,   7.7981,2,    25.00,  -999.0,9,  -999.0,    53.2,2, -999.00,9,     -999.0,1, 20170830,     1117, -32.4993,-138.5884,        0.0,1,      0.059,1,      4.686,1,      0.135,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    11.7313,2
320620170820,        P06,     156,          1,         29,         29,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   251.7,  13.6569,  34.9601,2,  34.8900,2, 207.7145,2, 214.3623,2,     0.9,2,    7.36,2,    0.00,2,    0.57,2,   2.836,2,   1.617,2,   1.5070,2,  2102.0,2,  2296.6,6,   7.8389,2,    25.00,  -999.0,9,  -999.0,    56.3,2,   10.10,2,     -999.0,1, 20170830,     1119, -32.4992,-138.5883,        0.0,1,      0.061,1,      4.685,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.1865,2
320620170820,        P06,     156,          1,         30,         30,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   200.8,  14.6840,  35.0350,2,  35.1016,2, 212.4803,2, 219.3194,2,     0.3,2,    3.75,2,    0.02,2,    0.35,2,   2.595,2,   1.500,2,   1.7140,2,  2088.4,2,  2307.1,2,   7.8840,2,    25.00,  -999.0,9,  -999.0,    53.6,2,    6.20,2,     -999.0,1, 20170830,     1122, -32.4990,-138.5882,        0.0,1,      0.082,1,      4.678,1,      0.139,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.8055,2
320620170820,        P06,     156,          1,         31,         31,2,20170830,       0855,   -32.4989,  -138.5881,       4572,   151.1,  15.7164,  35.0383,2,  35.0419,2, 239.3555,2, 243.6823,2,     0.0,2,    0.06,2,    0.03,2,    0.11,2,   2.457,2,   1.415,2,   1.7560,2,  2058.1,2,  2304.9,2,   7.9387,2,    25.00,  -999.0,9,  -999.0,  -999.0,5,    3.80,2,     -999.0,1, 20170830,     1125, -32.4991,-138.5883,        0.0,1,      0.115,1,      4.663,1,      0.159,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    15.6990,2
320620170820,        P06,     156,          1,         32,         32,2,20170830,       0855,   -32.4989,  -138.5881,       4572,    99.8,  17.0210,  35.3049,2,  35.2755,2,  232.025,2, 238.8789,2,     0.0,2,    0.00,2,    0.00,2,    0.07,2,   2.264,2,   1.329,2,   1.7920,2,  2055.2,2,  2316.5,2,   7.9643,2,    25.00,  -999.0,9,  -999.0,    60.0,2,    4.20,2,     -999.0,1, 20170830,     1128, -32.4993,-138.5884,        0.0,1,      0.150,1,      4.637,1,      0.181,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.9354,2
320620170820,        P06,     156,          1,         33,         33,2,20170830,       0855,   -32.4989,  -138.5881,       4572,    75.0,  17.0334,  35.3056,2,  35.2901,2, 231.7615,2, 240.8788,2,     0.0,2,    0.00,2,    0.00,2,    0.07,2,   2.275,2,   1.330,2,   1.7800,2,  2055.3,2,  2317.4,2,   7.9671,2,    25.00,  -999.0,9,  -999.0,    60.8,2,    3.70,2,     -999.0,1, 20170830,     1130, -32.4991,-138.5883,        0.0,1,      0.141,1,      4.635,1,      0.179,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.0004,2
320620170820,        P06,     156,          1,         34,         34,2,20170830,       0855,   -32.4989,  -138.5881,       4572,    49.6,  17.2254,  35.3561,2,  35.2921,2,   231.98,2, 239.2975,2,     0.0,2,    0.00,2,    0.00,2,    0.08,2,   2.291,2,   1.333,2,   1.7440,2,  2055.0,2,  2318.1,2,   7.9664,2,    25.00,  -999.0,9,  -999.0,    63.1,2,    4.30,2,     -999.0,1, 20170830,     1132, -32.4988,-138.5880,        0.0,1,      0.153,1,      4.624,1,      0.182,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.9921,2
320620170820,        P06,     156,          1,         35,         35,2,20170830,       0855,   -32.4989,  -138.5881,       4572,    24.5,  17.2629,  35.3700,2,  35.3328,2, 231.2734,2, 237.9765,2,     0.0,2,    0.00,2,    0.00,2,    0.08,2,   2.370,2,   1.339,2,   1.7280,2,  2055.9,2,  2320.8,2,   7.9699,2,    25.00,  -999.0,9,  -999.0,    62.8,2,    4.40,2,     -999.0,1, 20170830,     1134, -32.4988,-138.5879,        0.0,1,      0.159,1,      4.622,1,      0.183,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.1237,2
320620170820,        P06,     156,          1,         36,         36,2,20170830,       0855,   -32.4989,  -138.5881,       4572,     3.4,  17.2530,  35.3677,2,  35.3309,2, 231.0152,2, 237.6762,2,     0.1,2,    0.00,2,    0.00,2,    0.09,2,   2.292,2,   1.330,2,   1.8900,2,  2054.3,6,  2325.8,3,   7.9697,2,    25.00,  -999.0,1,  -999.0,    62.4,2,    4.50,2,     -999.0,1, 20170830,     1136, -32.4989,-138.5881,        0.0,1,      0.170,1,      4.623,1,      0.182,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.1703,2
320620170820,        P06,     157,          1,          1,          1,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  4726.0,   1.3511,  34.7056,2,  34.7070,3, 192.4708,3, 195.1457,2,   119.8,2,   32.83,2,    0.00,2,    2.29,2,   0.032,2,   0.019,2,   0.0000,2,  2277.8,6,  2378.6,2,   7.6086,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1812, -32.4995,-137.6990,        0.0,1,      0.060,1,      4.693,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3515,2
320620170820,        P06,     157,          1,          2,          2,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  4551.5,   1.3336,  34.7055,2,  34.7085,3, 192.4708,2, 191.8552,2,   119.3,2,   32.67,2,    0.00,2,    2.28,2,   0.036,2,   0.024,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1816, -32.4999,-137.6989,        0.0,1,      0.061,1,      4.694,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3337,2
320620170820,        P06,     157,          1,          3,          3,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  4374.8,   1.3367,  34.7043,2,  34.7050,3, 192.2811,3, 190.8376,2,   119.9,2,   32.80,2,    0.00,2,    2.31,2,   0.033,2,   0.022,2,   0.0000,2,  2278.3,2,  2376.2,2,   7.6075,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1821, -32.5000,-137.6988,        0.0,1,      0.060,1,      4.695,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3369,2
320620170820,        P06,     157,          1,          4,          4,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  4065.4,   1.3876,  34.6999,2,  34.7001,3, 185.4574,2, 185.4902,2,   121.5,2,   33.22,2,    0.00,2,    2.31,2,   0.031,2,   0.024,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1827, -32.5001,-137.6987,        0.0,1,      0.060,1,      4.695,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3883,2
320620170820,        P06,     157,          1,          5,          5,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  3757.9,   1.4753,  34.6925,2,  34.6938,2, 177.9781,2, 177.9316,2,   123.0,2,   33.66,2,    0.00,2,    2.35,2,   0.033,2,   0.032,2,   0.0000,2,  2288.9,2,  2387.9,2,   7.5971,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1833, -32.4998,-137.6990,        0.0,1,      0.061,1,      4.695,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.4830,2
320620170820,        P06,     157,          1,          6,          6,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  3452.8,   1.5794,  34.6839,2,  34.6834,2, 171.5896,2, 171.3402,2,   124.4,2,   34.29,2,    0.00,2,    2.39,2,   0.037,2,   0.041,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1840, -32.5000,-137.6989,        0.0,1,      0.061,1,      4.696,1,      0.123,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.5816,2
320620170820,        P06,     157,          1,          7,          7,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  3143.0,   1.6573,  34.6763,2,  34.6763,2, 167.1017,3, 165.9071,2,   124.4,2,   34.61,2,    0.00,2,    2.43,2,   0.035,2,   0.039,2,   0.0000,2,  2298.0,2,  2394.2,2,   7.5871,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1846, -32.5000,-137.6988,        0.0,1,      0.061,1,      4.695,1,      0.124,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.6556,2
320620170820,        P06,     157,          1,          8,          8,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  2874.4,   1.7097,  34.6710,2,  34.6708,2, 163.2788,2, 162.2872,2,   124.3,2,   34.86,2,    0.00,2,    2.45,2,   0.035,2,   0.043,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1852, -32.5002,-137.6987,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7081,2
320620170820,        P06,     157,          1,          9,          9,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  2619.8,   1.7841,  34.6642,2,  34.6647,2,  158.468,2, 158.5715,2,   123.8,2,   35.07,2,    0.00,2,    2.47,2,   0.031,2,   0.036,2,   0.0000,2,  2302.0,2,  2393.8,2,   7.5793,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1857, -32.4998,-137.6990,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7869,2
320620170820,        P06,     157,          1,         10,         10,2,20170830,       1812,   -32.5004,  -137.6988,       4650,  2362.7,   1.8964,  34.6547,2,  34.6527,2, 155.3046,2, 155.0735,2,   120.8,2,   35.30,2,    0.00,2,    2.50,2,   0.037,2,   0.048,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1902, -32.5005,-137.6986,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9072,2
